# BEGIN PLOT
DrawOnly=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/emubB_homemade_scales.yoda/ATLAS_sherpa/HT
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/emubB_homemade_scales.yoda/ATLAS_sherpa/HT
CustomLegend=Herwig LO
ErrorBandColor=Gray
ErrorBandOpacity=0.1
ErrorBands=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/home/iwsatlas1/scyboz/Work/Herwig/Analyses Results/emubB_homemade_scales.yoda/ATLAS_sherpa/HT
Title=emubB_homemade_scales
XLabel=$H_T$
YLabel=$\mathrm{d}\sigma/{dH_T}$ [pb]
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	6.811011e-02	1.939793e-02	3.104687e-02
6.000000e+01	8.000000e+01	1.783316e-01	5.084410e-02	7.676630e-02
8.000000e+01	1.000000e+02	2.002182e-01	5.628460e-02	8.464560e-02
1.000000e+02	1.200000e+02	1.623530e-01	4.578060e-02	7.170300e-02
1.200000e+02	1.400000e+02	1.115824e-01	3.165765e-02	4.903680e-02
1.400000e+02	1.600000e+02	7.140141e-02	2.048488e-02	3.465319e-02
1.600000e+02	1.800000e+02	4.521348e-02	1.301310e-02	2.059902e-02
1.800000e+02	2.000000e+02	2.956355e-02	9.062260e-03	1.198160e-02
2.000000e+02	2.200000e+02	1.935419e-02	5.733970e-03	1.052720e-02
2.200000e+02	2.400000e+02	1.271879e-02	3.864790e-03	7.320950e-03
2.400000e+02	2.600000e+02	8.647713e-03	2.672289e-03	5.089907e-03
2.600000e+02	2.800000e+02	6.111364e-03	1.953467e-03	3.650345e-03
2.800000e+02	3.000000e+02	4.227124e-03	1.293426e-03	2.092667e-03
3.000000e+02	3.200000e+02	3.062789e-03	9.459820e-04	1.814939e-03
3.200000e+02	3.400000e+02	2.224279e-03	6.756470e-04	1.469345e-03
3.400000e+02	3.600000e+02	1.683130e-03	5.789840e-04	7.590810e-04
3.600000e+02	3.800000e+02	1.222926e-03	3.742837e-04	7.182660e-04
3.800000e+02	4.000000e+02	9.249780e-04	3.285467e-04	1.069376e-03
4.000000e+02	4.200000e+02	7.303529e-04	2.501529e-04	2.176159e-04
4.200000e+02	4.400000e+02	5.158486e-04	1.508929e-04	3.856079e-04
4.400000e+02	4.600000e+02	4.740676e-04	1.956379e-04	1.201331e-04
4.600000e+02	4.800000e+02	3.322004e-04	1.138470e-04	4.645930e-05
4.800000e+02	5.000000e+02	2.474057e-04	4.556000e-05	1.384854e-04
5.000000e+02	5.200000e+02	1.940372e-04	6.455010e-05	1.479293e-04
5.200000e+02	5.400000e+02	1.666745e-04	5.739350e-05	7.528840e-05
5.400000e+02	5.600000e+02	1.211513e-04	3.209793e-05	1.329888e-04
5.600000e+02	5.800000e+02	9.655913e-05	3.426911e-05	2.046566e-04
5.800000e+02	6.000000e+02	8.834439e-05	2.875677e-05	4.733151e-05
6.000000e+02	6.200000e+02	6.627034e-05	1.913295e-05	1.081713e-04
