# BEGIN PLOT
DrawOnly=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/HT Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/HT Rivet_ATLASH_TTBA_100000.yoda/ATLAS_histo/HT
RatioPlotReference=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/HT
RatioPlot=1
LogY=1
XLabel=$\mathrm{H}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dH}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/HT
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/HT
ScaledBy=9.1029662776149012e-05
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	1.597315e-03	2.478022e-05	2.478022e-05
1.800000e+02	2.400000e+02	2.698713e-03	3.220981e-05	3.220981e-05
2.400000e+02	3.000000e+02	3.351478e-03	3.589451e-05	3.589451e-05
3.000000e+02	3.600000e+02	2.888238e-03	3.332163e-05	3.332163e-05
3.600000e+02	4.200000e+02	2.158202e-03	2.880420e-05	2.880420e-05
4.200000e+02	4.800000e+02	1.411635e-03	2.329544e-05	2.329544e-05
4.800000e+02	5.400000e+02	8.918823e-04	1.851670e-05	1.851670e-05
5.400000e+02	6.000000e+02	5.643462e-04	1.472932e-05	1.472932e-05
6.000000e+02	6.600000e+02	3.821255e-04	1.212028e-05	1.212028e-05
6.600000e+02	7.200000e+02	2.548785e-04	9.898659e-06	9.898659e-06
7.200000e+02	7.800000e+02	1.556950e-04	7.736546e-06	7.736546e-06
7.800000e+02	8.400000e+02	9.572358e-05	6.066236e-06	6.066236e-06
8.400000e+02	9.000000e+02	6.381572e-05	4.953060e-06	4.953060e-06
9.000000e+02	9.600000e+02	4.536298e-05	4.176001e-06	4.176001e-06
9.600000e+02	1.020000e+03	3.421445e-05	3.626724e-06	3.626724e-06
1.020000e+03	1.080000e+03	2.498808e-05	3.099390e-06	3.099390e-06
1.080000e+03	1.140000e+03	1.345512e-05	2.274331e-06	2.274331e-06
1.140000e+03	1.200000e+03	8.073073e-06	1.761689e-06	1.761689e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_WW_100000.yoda/ATLAS_histo/HT
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
