# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/HT Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/HT
RatioPlotReference=johannes.yoda/ATLAS_histo/HT
RatioPlot=1
LogY=1
XLabel=$\mathrm{H}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dH}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/HT
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/HT
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	2.877909e-05	3.044359e-07	3.044359e-07
1.800000e+02	2.400000e+02	8.355337e-04	2.079268e-06	2.079268e-06
2.400000e+02	3.000000e+02	3.261888e-03	4.097423e-06	4.097423e-06
3.000000e+02	3.600000e+02	3.372479e-03	4.035493e-06	4.035493e-06
3.600000e+02	4.200000e+02	1.611369e-03	2.730253e-06	2.730253e-06
4.200000e+02	4.800000e+02	7.367024e-04	1.896367e-06	1.896367e-06
4.800000e+02	5.400000e+02	3.608114e-04	1.260568e-06	1.260568e-06
5.400000e+02	6.000000e+02	1.866069e-04	9.047279e-07	9.047279e-07
6.000000e+02	6.600000e+02	1.011852e-04	6.822331e-07	6.822331e-07
6.600000e+02	7.200000e+02	5.723466e-05	5.262954e-07	5.262954e-07
7.200000e+02	7.800000e+02	3.345653e-05	4.228037e-07	4.228037e-07
7.800000e+02	8.400000e+02	1.985001e-05	3.291067e-07	3.291067e-07
8.400000e+02	9.000000e+02	1.215201e-05	2.606676e-07	2.606676e-07
9.000000e+02	9.600000e+02	7.462003e-06	2.056276e-07	2.056276e-07
9.600000e+02	1.020000e+03	4.923449e-06	1.753454e-07	1.753454e-07
1.020000e+03	1.080000e+03	3.217525e-06	1.423073e-07	1.423073e-07
1.080000e+03	1.140000e+03	2.077370e-06	1.036991e-07	1.036991e-07
1.140000e+03	1.200000e+03	1.373649e-06	8.316212e-08	8.316212e-08
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/HT
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/HT
ScaledBy=9.1372059548681326e-05
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.800000e+02	2.269073e-04	1.858897e-05	1.858897e-05
1.800000e+02	2.400000e+02	1.180223e-03	4.239484e-05	4.239484e-05
2.400000e+02	3.000000e+02	2.081760e-03	5.630492e-05	5.630492e-05
3.000000e+02	3.600000e+02	1.533528e-03	4.832556e-05	4.832556e-05
3.600000e+02	4.200000e+02	8.421458e-04	3.581168e-05	3.581168e-05
4.200000e+02	4.800000e+02	3.731025e-04	2.383665e-05	2.383665e-05
4.800000e+02	5.400000e+02	2.238615e-04	1.846379e-05	1.846379e-05
5.400000e+02	6.000000e+02	1.050779e-04	1.264989e-05	1.264989e-05
6.000000e+02	6.600000e+02	7.309765e-05	1.055074e-05	1.055074e-05
6.600000e+02	7.200000e+02	5.177750e-05	8.879768e-06	8.879768e-06
7.200000e+02	7.800000e+02	1.827442e-05	5.275367e-06	5.275367e-06
7.800000e+02	8.400000e+02	1.522868e-05	4.815730e-06	4.815730e-06
8.400000e+02	9.000000e+02	1.066007e-05	4.029129e-06	4.029129e-06
9.000000e+02	9.600000e+02	6.091470e-06	3.045735e-06	3.045735e-06
9.600000e+02	1.020000e+03	4.568603e-06	2.637684e-06	2.637684e-06
1.020000e+03	1.080000e+03	3.045735e-06	2.153660e-06	2.153660e-06
1.080000e+03	1.140000e+03	4.568603e-06	2.637684e-06	2.637684e-06
1.140000e+03	1.200000e+03	1.522868e-06	1.522868e-06	1.522868e-06
# END HISTO1D

